ceo2016,srleadership,company_ratings,error,comp,ceoratings,numberOfRatings,culturevalues,ceopctApprove,id,overall,industry,careerops,rectofriend,wlb
Inge G. Thulin,3.2,3M,None,3.7,482,1357,3.7,86,446,3.7,Chemical Manufacturing,3.4,75,3.5
Miles D. White,3.3,Abbott Labs,None,3.8,526,1019,3.6,80,12,3.6,Biotech & Pharmaceuticals,3.3,75,3.5
Richard A. Gonzalez,3.2,AbbVie,None,3.9,208,557,3.5,85,649837,3.6,Biotech & Pharmaceuticals,3.3,71,3.4
Pierre Nanterme,3.2,Accenture,None,3.4,8930,21188,3.7,94,4138,3.7,,3.6,81,3.2
Evan G. Greenberg,2.8,ACE Group,None,3.1,55,148,3,63,382053,2.7,Insurance Carriers,2.6,47,2.9
Juan R. Luciano,2.9,ADM,None,3.3,68,345,3.1,86,55,3.2,Food Production,3.2,59,2.9
Shantanu Narayen,3.6,Adobe,None,4.1,1307,2278,4.2,95,1090,4,Computer Hardware & Software,3.7,87,4.1
Carlos A. Rodriguez,3.1,ADP,None,3.5,1867,4300,3.5,87,64,3.5,Staffing & Outsourcing,3.4,70,3.4
Tim Whall,2.3,ADT Security Services,None,3,57,1421,2.6,64,13956,2.7,Security Services,2.6,39,2.7
Darren R. Jackson,2.4,Advance Auto Parts,None,2.6,727,1592,2.7,44,8708,2.9,"Department, Clothing, & Shoe Stores",2.7,43,2.7
Nick Akins,3.5,AEP,None,3.8,101,232,3.5,83,34,3.7,Energy,3.3,68,3.6
Andr̩s Gluski,3.4,AES Corporation,None,3.9,124,214,4,89,291,3.8,Utilities,3.4,87,3.4
Mark T. Bertolini,2.9,Aetna,None,3.3,655,1374,3.3,78,16,3.3,Insurance Carriers,3,63,3.3
Dan Amos,3.2,Aflac,None,3,795,1603,3.6,91,1302,3.3,Insurance Carriers,3.3,55,3.8
Mike McMullen,3.1,Agilent Technologies,None,3.4,93,828,3.8,81,9711,3.6,Biotech & Pharmaceuticals,3.2,80,3.9
Peter Hancock,2.5,AIG,None,3.3,602,2254,2.8,46,40,3,Insurance Carriers,2.8,45,3.3
Terry Considine,3.1,Aimco Apartment Homes,None,3.5,136,261,3.7,85,24024,3.5,Real Estate,3.4,67,3.1
