"","id","company","industry","ceo2015","ceo2016","ceo_comp","median_comp","ratio","numberOfRatings","ceoratings","overall_2014","overall","culturevalues","wlb","careerops","comp","srleadership","ceopctApprove","rectofriend","profits","size","ceo.match"
"1",446,"3M","Chemical Manufacturing","Inge G. Thulin","Inge G. Thulin",20115589,84130,239,1357,482,3.7,3.7,3.7,3.5,3.4,3.7,3.2,86,75,4833,89446,"match"
"2",12,"Abbott Labs","Biotech & Pharmaceuticals","Miles D. White","Miles D. White",17732241,101178,175,1019,526,3.5,3.6,3.6,3.5,3.3,3.8,3.3,80,75,4423,74000,"match"
"3",649837,"AbbVie","Biotech & Pharmaceuticals","Richard A. Gonzalez","Richard A. Gonzalez",22006271,104366,211,557,208,3.6,3.6,3.5,3.4,3.3,3.9,3.2,85,71,5144,28000,"match"
"4",4138,"Accenture","","Pierre Nanterme","Pierre Nanterme",15925463,89848,177,21188,8930,3.6,3.7,3.7,3.2,3.6,3.4,3.2,94,81,3054,358000,"match"
"5",382053,"ACE Group","Insurance Carriers","Evan G. Greenberg","Evan G. Greenberg",19678174,64395,306,148,55,3.1,2.7,3,2.9,2.6,3.1,2.8,63,47,NA,631,"match"
"7",1090,"Adobe","Computer Hardware & Software","Shantanu Narayen","Shantanu Narayen",17890918,133322,134,2278,1307,4,4,4.2,4.1,3.7,4.1,3.6,95,87,630,13893,"match"
"8",64,"ADP","Staffing & Outsourcing","Carlos A. Rodriguez","Carlos A. Rodriguez",8237147,75511,109,4300,1867,3.5,3.5,3.5,3.4,3.4,3.5,3.1,87,70,1453,55000,"match"
"10",8708,"Advance Auto Parts","Department, Clothing, & Shoe Stores","Darren R. Jackson","Darren R. Jackson",4303711,35699,121,1592,727,2.9,2.9,2.7,2.7,2.7,2.6,2.4,44,43,473,40000,"match"
"11",34,"AEP","Energy","Nicholas K. Akins","Nick Akins",11373520,78590,145,232,101,3.7,3.7,3.5,3.6,3.3,3.8,3.5,83,68,2047,17405,"match"
"12",291,"AES Corporation","Utilities","Andrs Ricardo Gluski Weilert","Andr̩s Gluski",8403245,115000,73,214,124,4,3.8,4,3.4,3.4,3.9,3.4,89,87,306,21000,"match"
"13",16,"Aetna","Insurance Carriers","Mark T. Bertolini","Mark T. Bertolini",15067322,67873,222,1374,655,3.3,3.3,3.3,3.3,3,3.3,2.9,78,63,2390,50100,"match"
"14",1302,"Aflac","Insurance Carriers","Daniel P. Amos","Dan Amos",15477348,45723,339,1603,795,3.3,3.3,3.6,3.8,3.3,3,3.2,91,55,2533,9915,"match"
"17",24024,"Aimco Apartment Homes","Real Estate","Terry Considine, J.D.","Terry Considine",4284430,57978,74,261,136,4,3.5,3.7,3.1,3.4,3.5,3.1,85,67,249,1591,"match"
